id,time,magnitude,magtype,depth,latitude,longitude,distance,trigger_index
usp000atsf,2001-11-30 22:59:37.020000+00:00,2.5,mblg,0.0,27.542,-17.859,119.2,670.31
usp000au78,2001-12-08 01:36:53.190000+00:00,2.7,mblg,0.0,27.814,-16.566,155.468,694.452
usp000aujw,2001-12-13 19:06:59.810000+00:00,2.6,mblg,0.0,27.787,-14.363,355.74,1782.923
usp000avrp,2002-01-03 10:35:28.840000+00:00,2.5,mblg,1.5,27.733,-14.981,299.567,1684.588
usp000azcy,2002-03-01 05:36:19.800000+00:00,2.7,mblg,0.0,28.06,-16.162,177.945,794.85
usp000azhm,2002-03-03 13:30:18.810000+00:00,2.7,mblg,0.2,28.258,-15.052,278.279,1243.028
usp000aztk,2002-03-06 16:35:00.950000+00:00,2.4,mblg,0.0,28.244,-16.175,170.564,1076.185
usp000azut,2002-03-07 02:08:05.050000+00:00,2.9,mblg,17.0,28.076,-16.249,169.324,600.786
usp000b0dt,2002-03-16 02:50:50.840000+00:00,3.1,mblg,0.0,28.104,-16.16,176.464,497.343
usp000b0vy,2002-03-23 03:03:45.010000+00:00,3.2,mblg,0.0,28.077,-16.206,173.233,435.143
usp000b3e6,2002-04-30 02:58:21.110000+00:00,2.9,mblg,0.0,29.169,-14.642,320.266,1136.346
usp000b3f2,2002-04-30 16:01:38.590000+00:00,2.9,mblg,0.0,28.088,-16.192,174.099,617.727
usp000b41u,2002-05-10 01:14:03.960000+00:00,2.6,mblg,24.7,28.14,-16.153,175.846,881.317
usp000b4hb,2002-05-18 02:25:14.180000+00:00,2.8,mblg,0.0,28.136,-16.246,167.321,666.116
usp000b4up,2002-05-23 15:13:23.750000+00:00,2.9,mblg,0.0,29.156,-14.458,337.635,1197.975
usp000b5hv,2002-06-04 23:12:36.440000+00:00,3.0,mblg,0.0,28.042,-16.162,178.661,564.975
usp000b6ng,2002-06-21 14:51:10.620000+00:00,3.3,mblg,0.0,28.09,-16.155,177.443,397.246
usp000b6p5,2002-06-21 22:29:20.310000+00:00,2.8,mblg,28.0,28.027,-15.762,216.254,860.924
usp000b6um,2002-06-24 11:48:05.770000+00:00,2.7,mblg,4.0,28.15,-16.14,176.726,789.405
usp000b7x4,2002-07-11 07:30:16.770000+00:00,3.1,mblg,0.0,27.991,-16.129,183.786,517.981
usp000b8uv,2002-07-26 23:43:52.910000+00:00,2.0,mblg,13.0,28.11,-16.159,176.339,1763.39
usp000b8vu,2002-07-27 14:50:42.800000+00:00,2.4,mblg,24.6,28.004,-16.782,126.021,795.137
usp000bbz6,2002-09-11 09:14:33.290000+00:00,2.3,mblg,0.0,28.086,-16.175,175.744,1244.175
usp000bc58,2002-09-13 13:57:23.720000+00:00,2.5,mblg,32.5,28.145,-16.36,156.43,879.668
usp000bctb,2002-09-21 10:46:11.390000+00:00,2.5,mblg,0.0,28.08,-16.172,176.25,991.124
usp000bcth,2002-09-21 12:07:37.520000+00:00,2.5,mblg,0.0,28.171,-16.163,173.881,977.805
usp000bdsq,2002-10-04 13:49:05.850000+00:00,2.8,mblg,22.3,28.02,-16.182,177.741,707.599
usp000be1v,2002-10-08 09:33:49.450000+00:00,2.5,mblg,0.0,28.112,-16.188,173.574,976.081
usp000bfj1,2002-10-28 19:19:41.170000+00:00,2.8,mblg,0.0,28.186,-16.129,176.609,703.094
usp000bft5,2002-11-01 10:51:47.490000+00:00,2.5,mblg,6.6,28.108,-16.205,172.146,968.048
usp000bhbe,2002-11-10 17:07:17.480000+00:00,2.6,mblg,0.0,28.129,-16.143,177.157,887.89
usp000bj9b,2002-11-24 05:35:02.690000+00:00,3.1,mblg,0.0,28.155,-16.148,175.811,495.502
usp000bky8,2002-12-18 21:47:56.350000+00:00,2.8,mblg,0.0,28.174,-16.142,175.759,699.71
usp000bm7u,2002-12-23 03:51:21.010000+00:00,2.9,mblg,1.6,28.721,-16.291,154.317,547.537
usp000bp06,2003-01-22 18:37:12.570000+00:00,3.0,mblg,0.0,28.048,-16.159,178.695,565.083
usp000bp3b,2003-01-24 05:06:14.930000+00:00,2.1,mblg,26.4,28.069,-16.136,179.991,1604.171
usp000bppd,2003-01-31 08:30:31.230000+00:00,3.3,mblg,0.0,28.142,-16.181,173.162,387.662
usp000bpuw,2003-02-02 16:17:40.030000+00:00,3.0,mblg,0.0,28.108,-16.247,168.263,532.093
usp000bq2t,2003-02-06 05:41:34.940000+00:00,2.6,mblg,8.9,28.141,-16.188,172.543,864.766
usp000bq33,2003-02-06 09:56:29.240000+00:00,2.1,mblg,21.7,28.339,-16.281,158.07,1408.796
usp000bq44,2003-02-06 18:58:46.060000+00:00,2.9,mblg,0.0,28.067,-16.095,183.854,652.338
usp000bq8t,2003-02-08 15:13:24.440000+00:00,2.8,mblg,0.0,28.091,-16.13,179.722,715.485
usp000bq9s,2003-02-09 00:47:51.380000+00:00,2.8,mblg,27.0,28.052,-16.132,181.017,720.641
usp000bqat,2003-02-09 13:20:50.170000+00:00,2.9,mblg,25.8,28.064,-16.126,181.105,642.584
usp000bqba,2003-02-09 19:00:24.300000+00:00,2.0,mblg,33.3,28.065,-16.141,179.683,1796.833
